"","AGE","MARSTAT","CLASS","SEX","HHINCOME","RACE","RELIGION","HAPPY"
"1339","Under30","MARRIED","Manual labour","Men",8,"white",0,22
"1340","30to64","SEPARATED OR DIVORCED","Manual labour","Men",5,"white",1,17
"1341","30to64","MARRIED","Lower salariat","Men",8,"white",1,26
"1342","Under30","MARRIED","Upper salariat","Men",7,"white",0,27
"1343","30to64","SINGLE","Lower salariat","Men",6,"white",0,23
"1344","Under30","SINGLE","Lower salariat","Men",3,"white",0,24
"1345","Under30","MARRIED","Manual labour","Men",8,"white",0,23
"1346","30to64","MARRIED","Upper salariat","Men",8,"white",0,29
"1347","Under30","MARRIED","Routine nonmanual","Women",6,"white",0,16
"1348","30to64","MARRIED","Manual labour","Men",4,"white",0,22
"1349","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,27
"1350","30to64","MARRIED","Lower salariat","Women",8,"white",0,23
"1351","30to64","SINGLE","Upper salariat","Women",8,"white",0,20
"1352","30to64","MARRIED","Manual labour","Women",6,"white",0,20
"1353","30to64","MARRIED","Lower salariat","Men",9,"white",0,23
"1354","Under30","SINGLE","Lower salariat","Women",5,"white",1,27
"1355","30to64","MARRIED","Manual labour","Men",8,"white",0,24
"1356","30to64","MARRIED","Routine nonmanual","Women",9,"white",0,25
"1357","30to64","MARRIED","Routine nonmanual","Women",10,"white",0,28
"1358","30to64","MARRIED","Manual labour","Men",5,"white",0,21
"1359","30to64","MARRIED","Upper salariat","Women",8,"white",0,27
"1360","Under30","MARRIED","Routine nonmanual","Women",6,"white",0,18
"1361","30to64","MARRIED","Upper salariat","Men",10,"white",0,26
"1362","30to64","MARRIED","Manual labour","Men",4,"white",0,17
"1363","30to64","MARRIED","Manual labour","Men",6,"white",0,23
"1364","30to64","MARRIED","Lower salariat","Men",8,"white",0,24
"1365","65plus","MARRIED","Self employed","Men",4,"white",0,22
"1366","30to64","MARRIED","Manual labour","Women",7,"white",0,20
"1367","30to64","MARRIED","Lower salariat","Women",9,"white",0,25
"1368","Under30","MARRIED","Self employed","Women",5,"white",0,23
"1369","Under30","SINGLE","Upper salariat","Men",7,"white",0,24
"1370","30to64","SINGLE","Upper salariat","Women",7,"white",0,26
"1371","Under30","SINGLE","Manual labour","Men",7,"white",1,26
"1372","30to64","MARRIED","Lower salariat","Men",9,"white",0,23
"1373","65plus","WIDOWED","Manual labour","Men",5,"white",0,25
"1374","Under30","SINGLE","Manual labour","Men",7,"white",0,24
"1375","30to64","MARRIED","Routine nonmanual","Women",6,"white",0,25
"1376","30to64","MARRIED","Manual labour","Women",7,"white",0,24
"1377","30to64","MARRIED","Manual labour","Men",8,"white",0,19
"1378","65plus","WIDOWED","Manual labour","Men",5,"white",0,24
"1379","Under30","MARRIED","Upper salariat","Women",8,"white",0,28
"1380","30to64","SEPARATED OR DIVORCED","Lower salariat","Men",8,"white",0,20
"1381","Under30","MARRIED","Routine nonmanual","Women",9,"white",0,25
"1382","30to64","SEPARATED OR DIVORCED","Upper salariat","Women",8,"white",0,20
"1383","30to64","MARRIED","Upper salariat","Women",9,"white",0,21
"1384","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",7,"white",0,28
"1385","30to64","SEPARATED OR DIVORCED","Manual labour","Women",4,"white",0,25
"1386","30to64","MARRIED","Routine nonmanual","Men",9,"white",0,26
"1387","Under30","MARRIED","Lower salariat","Women",9,"white",0,24
"1388","30to64","SINGLE","Routine nonmanual","Women",6,"white",0,12
"1389","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",6,"white",0,17
"1390","30to64","MARRIED","Manual labour","Men",6,"white",0,25
"1391","30to64","SINGLE","Manual labour","Men",7,"white",0,23
"1392","65plus","SEPARATED OR DIVORCED","Upper salariat","Men",6,"white",1,21
"1393","65plus","MARRIED","Routine nonmanual","Women",6,"white",0,22
"1394","Under30","MARRIED","Lower salariat","Women",7,"white",1,26
"1395","30to64","MARRIED","Manual labour","Men",5,"white",0,23
"1396","30to64","MARRIED","Manual labour","Women",9,"white",0,23
"1397","30to64","MARRIED","Lower salariat","Women",10,"white",0,23
"1398","65plus","WIDOWED","Lower salariat","Men",6,"white",0,20
"1399","65plus","WIDOWED","Routine nonmanual","Women",5,"white",0,20
"1400","65plus","WIDOWED","Upper salariat","Women",7,"white",0,29
"1401","30to64","MARRIED","Upper salariat","Men",8,"white",1,23
"1402","Under30","MARRIED","Routine nonmanual","Women",10,"white",0,22
"1403","65plus","SINGLE","Manual labour","Men",5,"white",0,23
"1404","Under30","MARRIED","Lower salariat","Women",6,"white",1,21
"1405","30to64","MARRIED","Manual labour","Men",7,"white",0,23
"1406","30to64","SEPARATED OR DIVORCED","Manual labour","Men",8,"white",0,20
"1407","Under30","SINGLE","Lower salariat","Men",6,"white",1,21
"1408","65plus","WIDOWED","Routine nonmanual","Men",6,"white",0,18
"1409","Under30","MARRIED","Manual labour","Women",7,"white",0,29
"1410","30to64","MARRIED","Routine nonmanual","Women",7,"white",0,21
"1411","65plus","MARRIED","Lower salariat","Men",9,"white",0,26
"1412","65plus","SEPARATED OR DIVORCED","Lower salariat","Men",9,"white",0,25
"1413","30to64","SEPARATED OR DIVORCED","Upper salariat","Women",6,"white",0,24
"1414","65plus","MARRIED","Upper salariat","Men",6,"white",0,29
"1415","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,25
"1416","30to64","SINGLE","Lower salariat","Women",8,"white",1,30
"1417","30to64","SINGLE","Routine nonmanual","Women",4,"white",0,28
"1418","65plus","SINGLE","Manual labour","Men",5,"white",0,19
"1419","Under30","MARRIED","Manual labour","Women",8,"white",0,23
"1420","30to64","MARRIED","Lower salariat","Men",4,"white",0,26
"1421","30to64","SINGLE","Lower salariat","Women",8,"white",0,25
"1422","30to64","MARRIED","Routine nonmanual","Women",9,"white",1,22
"1423","65plus","MARRIED","Manual labour","Women",4,"white",0,24
"1424","Under30","MARRIED","Routine nonmanual","Men",7,"white",0,23
"1425","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",6,"white",0,22
"1426","30to64","MARRIED","Upper salariat","Men",10,"white",0,23
"1427","65plus","WIDOWED","Lower salariat","Women",5,"white",0,23
"1428","30to64","MARRIED","Routine nonmanual","Women",7,"white",0,16
"1429","Under30","SINGLE","Lower salariat","Men",8,"white",0,27
"1430","30to64","MARRIED","Routine nonmanual","Women",7,"white",1,22
"1431","30to64","SINGLE","Lower salariat","Women",8,"white",0,26
"1432","30to64","MARRIED","Manual labour","Men",8,"white",0,27
"1433","Under30","MARRIED","Routine nonmanual","Women",10,"white",0,22
"1434","30to64","MARRIED","Upper salariat","Men",10,"white",1,25
"1435","30to64","WIDOWED","Lower salariat","Women",6,"white",0,29
"1436","30to64","MARRIED","Lower salariat","Men",9,"white",0,22
"1437","30to64","MARRIED","Manual labour","Men",9,"white",0,22
"1438","Under30","MARRIED","Manual labour","Men",5,"white",1,16
"1439","30to64","MARRIED","Manual labour","Women",6,"white",0,22
"1440","Under30","SINGLE","Upper salariat","Women",6,"white",0,23
"1441","65plus","WIDOWED","Lower salariat","Women",7,"white",0,21
"1442","65plus","WIDOWED","Manual labour","Women",3,"white",0,25
"1443","Under30","SINGLE","Manual labour","Men",7,"white",1,24
"1444","30to64","MARRIED","Lower salariat","Women",9,"white",0,28
"1445","30to64","SINGLE","Upper salariat","Women",8,"white",0,26
"1446","30to64","MARRIED","Routine nonmanual","Women",9,"Nonwhite",0,21
"1447","30to64","MARRIED","Manual labour","Men",7,"white",0,22
"1448","65plus","MARRIED","Manual labour","Men",4,"white",0,28
"1449","65plus","WIDOWED","Manual labour","Women",3,"white",0,20
"1450","65plus","MARRIED","Self employed","Men",5,"white",0,25
"1451","30to64","MARRIED","Lower salariat","Women",9,"white",0,28
"1452","30to64","SEPARATED OR DIVORCED","Upper salariat","Men",9,"white",0,25
"1453","30to64","MARRIED","Routine nonmanual","Men",9,"white",0,29
"1454","30to64","SINGLE","Lower salariat","Men",10,"white",1,25
"1455","30to64","MARRIED","Lower salariat","Men",8,"white",0,22
"1456","30to64","MARRIED","Lower salariat","Women",9,"white",0,23
"1457","30to64","MARRIED","Manual labour","Women",6,"white",0,22
"1458","Under30","MARRIED","Upper salariat","Women",9,"white",0,21
"1459","30to64","SEPARATED OR DIVORCED","Lower salariat","Women",4,"white",0,17
"1460","30to64","MARRIED","Manual labour","Men",6,"white",0,15
"1461","Under30","SINGLE","Routine nonmanual","Men",10,"white",0,22
"1462","Under30","MARRIED","Routine nonmanual","Men",8,"white",0,25
"1463","Under30","MARRIED","Manual labour","Men",8,"white",1,21
"1464","30to64","SINGLE","Lower salariat","Men",8,"white",1,23
"1465","30to64","MARRIED","Lower salariat","Women",7,"white",0,21
"1466","30to64","SEPARATED OR DIVORCED","Upper salariat","Men",8,"white",0,26
"1467","30to64","SEPARATED OR DIVORCED","Upper salariat","Women",7,"white",0,28
"1468","30to64","MARRIED","Upper salariat","Women",10,"white",0,23
"1469","30to64","SEPARATED OR DIVORCED","Manual labour","Women",6,"white",1,23
"1470","Under30","SINGLE","Routine nonmanual","Men",9,"white",1,23
"1471","30to64","MARRIED","Routine nonmanual","Women",9,"white",0,24
"1472","65plus","WIDOWED","Upper salariat","Women",2,"white",0,24
"1473","30to64","MARRIED","Self employed","Men",8,"white",0,22
"1474","30to64","MARRIED","Routine nonmanual","Women",10,"white",0,26
"1475","30to64","MARRIED","Routine nonmanual","Women",4,"white",0,22
"1476","30to64","MARRIED","Manual labour","Men",8,"white",1,20
"1477","30to64","MARRIED","Manual labour","Men",6,"white",1,21
"1478","30to64","MARRIED","Manual labour","Men",9,"white",0,26
"1479","30to64","MARRIED","Routine nonmanual","Women",10,"white",0,29
"1480","Under30","MARRIED","Manual labour","Women",3,"white",0,19
"1481","Under30","SINGLE","Manual labour","Men",10,"white",0,25
"1482","Under30","SEPARATED OR DIVORCED","Routine nonmanual","Women",3,"white",0,25
"1483","65plus","MARRIED","Manual labour","Men",6,"white",0,29
"1484","30to64","MARRIED","Upper salariat","Men",10,"white",0,26
"1485","65plus","SINGLE","Lower salariat","Men",5,"white",0,25
"1486","30to64","MARRIED","Routine nonmanual","Women",8,"white",1,29
"1487","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,21
"1488","30to64","MARRIED","Manual labour","Men",9,"white",1,23
"1489","30to64","MARRIED","Lower salariat","Women",8,"white",0,25
"1490","65plus","MARRIED","Manual labour","Men",7,"white",0,29
"1491","65plus","WIDOWED","Routine nonmanual","Women",4,"white",0,22
"1492","30to64","MARRIED","Manual labour","Men",6,"white",0,22
"1493","65plus","SINGLE","Routine nonmanual","Women",6,"white",0,21
"1494","65plus","MARRIED","Routine nonmanual","Men",8,"white",0,30
"1495","30to64","MARRIED","Manual labour","Men",7,"white",1,17
"1496","30to64","MARRIED","Lower salariat","Men",8,"Nonwhite",1,21
"1497","30to64","SEPARATED OR DIVORCED","Lower salariat","Women",8,"white",1,25
"1498","65plus","MARRIED","Routine nonmanual","Women",7,"white",0,26
"1499","Under30","MARRIED","Routine nonmanual","Women",8,"white",0,29
"1500","Under30","SINGLE","Manual labour","Men",7,"white",0,22
"1501","30to64","MARRIED","Routine nonmanual","Women",7,"white",1,26
"1502","30to64","SEPARATED OR DIVORCED","Manual labour","Men",8,"white",0,21
"1503","30to64","SINGLE","Lower salariat","Women",7,"white",0,26
"1504","30to64","MARRIED","Upper salariat","Women",8,"white",0,21
"1505","65plus","WIDOWED","Manual labour","Women",4,"white",0,25
"1506","65plus","MARRIED","Self employed","Men",5,"white",0,23
"1507","65plus","MARRIED","Lower salariat","Men",5,"white",0,28
"1508","65plus","SINGLE","Routine nonmanual","Women",4,"white",0,22
"1509","30to64","MARRIED","Manual labour","Women",7,"white",0,25
"1510","Under30","SINGLE","Manual labour","Men",7,"white",0,23
"1511","Under30","SINGLE","Routine nonmanual","Men",8,"white",0,22
"1512","30to64","MARRIED","Routine nonmanual","Men",9,"white",0,20
"1513","Under30","MARRIED","Manual labour","Men",6,"white",0,24
"1514","30to64","MARRIED","Upper salariat","Men",8,"white",1,24
"1515","65plus","MARRIED","Upper salariat","Women",5,"white",0,25
"1516","30to64","MARRIED","Manual labour","Men",9,"white",0,23
"1517","30to64","MARRIED","Manual labour","Men",9,"white",0,26
"1518","30to64","MARRIED","Routine nonmanual","Women",6,"white",0,22
"1519","30to64","SEPARATED OR DIVORCED","Upper salariat","Men",8,"white",0,20
"1520","30to64","MARRIED","Lower salariat","Men",7,"white",0,19
"1521","30to64","MARRIED","Manual labour","Men",10,"white",0,24
"1522","65plus","MARRIED","Manual labour","Men",8,"white",0,21
"1523","30to64","MARRIED","Upper salariat","Men",9,"white",1,21
"1524","Under30","SINGLE","Upper salariat","Women",7,"white",0,17
"1525","30to64","SINGLE","Upper salariat","Women",6,"white",0,25
"1526","30to64","MARRIED","Manual labour","Men",8,"white",0,24
"1527","30to64","SEPARATED OR DIVORCED","Upper salariat","Women",5,"white",0,23
"1528","30to64","MARRIED","Lower salariat","Men",8,"white",0,24
"1529","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,25
"1530","Under30","MARRIED","Lower salariat","Women",9,"white",0,28
"1531","Under30","SINGLE","Manual labour","Men",8,"white",0,22
"1532","30to64","MARRIED","Upper salariat","Women",10,"white",0,25
"1533","30to64","SINGLE","Upper salariat","Men",7,"white",0,19
"1534","Under30","MARRIED","Lower salariat","Women",8,"white",0,24
"1535","30to64","MARRIED","Manual labour","Women",5,"white",0,21
"1536","30to64","MARRIED","Manual labour","Men",4,"white",0,19
"1537","65plus","WIDOWED","Routine nonmanual","Women",4,"white",0,18
"1538","65plus","MARRIED","Self employed","Men",10,"white",0,27
"1539","65plus","WIDOWED","Manual labour","Men",4,"white",1,23
"1540","30to64","SEPARATED OR DIVORCED","Upper salariat","Women",6,"white",0,21
"1541","30to64","MARRIED","Manual labour","Men",8,"white",0,30
"1542","30to64","MARRIED","Lower salariat","Men",10,"white",0,25
"1543","Under30","MARRIED","Routine nonmanual","Men",10,"Nonwhite",1,27
"1544","30to64","MARRIED","Manual labour","Men",9,"white",0,27
"1545","30to64","MARRIED","Manual labour","Men",9,"white",0,21
"1546","30to64","MARRIED","Routine nonmanual","Men",9,"white",0,27
"1547","30to64","MARRIED","Lower salariat","Men",8,"white",0,28
"1548","30to64","MARRIED","Self employed","Men",7,"white",0,22
"1549","30to64","MARRIED","Lower salariat","Women",9,"white",0,30
"1550","30to64","SINGLE","Lower salariat","Men",8,"white",0,27
"1551","30to64","MARRIED","Routine nonmanual","Men",10,"white",0,25
"1552","Under30","MARRIED","Routine nonmanual","Women",6,"white",0,26
"1553","30to64","SINGLE","Lower salariat","Men",8,"white",0,22
"1554","30to64","MARRIED","Manual labour","Men",9,"white",0,24
"1555","30to64","MARRIED","Manual labour","Men",8,"white",0,23
"1556","30to64","SINGLE","Routine nonmanual","Women",7,"white",0,23
"1557","Under30","MARRIED","Manual labour","Women",7,"white",0,22
"1558","30to64","MARRIED","Manual labour","Men",8,"white",0,27
"1559","65plus","MARRIED","Manual labour","Men",5,"white",0,21
"1560","30to64","SINGLE","Lower salariat","Women",7,"white",1,16
"1561","30to64","SEPARATED OR DIVORCED","Manual labour","Men",7,"white",0,25
"1562","30to64","SINGLE","Lower salariat","Men",9,"white",0,26
"1563","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,24
"1564","Under30","MARRIED","Manual labour","Men",5,"white",0,18
"1565","65plus","MARRIED","Self employed","Women",4,"white",0,28
"1566","30to64","SEPARATED OR DIVORCED","Lower salariat","Women",3,"white",0,22
"1567","30to64","MARRIED","Manual labour","Women",10,"white",0,19
"1568","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",8,"white",0,25
"1569","30to64","MARRIED","Lower salariat","Men",10,"white",0,27
"1570","30to64","MARRIED","Manual labour","Men",9,"white",0,27
"1571","Under30","MARRIED","Manual labour","Men",7,"white",1,24
"1572","30to64","MARRIED","Manual labour","Men",7,"white",0,22
"1573","Under30","SINGLE","Routine nonmanual","Women",3,"white",0,15
"1574","30to64","MARRIED","Self employed","Women",7,"white",0,25
"1575","Under30","SINGLE","Manual labour","Men",7,"white",0,23
"1576","30to64","MARRIED","Manual labour","Men",9,"white",0,29
"1577","30to64","MARRIED","Upper salariat","Men",10,"white",0,23
"1578","65plus","SINGLE","Manual labour","Men",4,"white",0,22
"1579","65plus","MARRIED","Manual labour","Men",5,"white",0,27
"1580","30to64","MARRIED","Lower salariat","Women",6,"white",0,29
"1581","30to64","SINGLE","Lower salariat","Women",8,"white",0,24
"1582","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,14
"1583","30to64","MARRIED","Manual labour","Women",6,"white",0,27
"1584","65plus","MARRIED","Self employed","Men",4,"white",0,19
"1585","65plus","SINGLE","Self employed","Men",4,"white",0,25
"1586","65plus","WIDOWED","Lower salariat","Women",3,"white",0,25
"1587","65plus","MARRIED","Manual labour","Women",7,"white",0,29
"1588","30to64","SINGLE","Lower salariat","Women",7,"white",0,25
"1589","30to64","MARRIED","Upper salariat","Women",9,"white",0,24
"1590","30to64","MARRIED","Routine nonmanual","Women",7,"white",1,20
"1591","30to64","SEPARATED OR DIVORCED","Lower salariat","Men",7,"white",0,22
"1592","Under30","MARRIED","Manual labour","Men",8,"white",0,24
"1593","65plus","WIDOWED","Upper salariat","Women",3,"white",0,23
"1594","30to64","MARRIED","Lower salariat","Men",9,"white",0,29
"1595","30to64","MARRIED","Manual labour","Women",8,"white",0,28
"1596","Under30","SINGLE","Manual labour","Men",8,"white",0,23
"1597","Under30","MARRIED","Lower salariat","Women",7,"white",0,29
"1598","30to64","MARRIED","Lower salariat","Men",8,"white",0,23
"1599","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",6,"white",1,25
"1600","30to64","MARRIED","Manual labour","Women",5,"white",0,24
"1601","30to64","MARRIED","Lower salariat","Men",8,"white",0,21
"1602","30to64","MARRIED","Lower salariat","Women",9,"white",0,23
"1603","Under30","MARRIED","Routine nonmanual","Women",7,"white",0,22
"1604","30to64","MARRIED","Manual labour","Men",7,"white",0,24
"1605","30to64","MARRIED","Routine nonmanual","Women",6,"white",0,25
"1606","30to64","WIDOWED","Manual labour","Men",6,"white",0,24
"1607","30to64","WIDOWED","Manual labour","Women",4,"white",0,17
"1608","Under30","MARRIED","Lower salariat","Women",8,"white",0,22
"1609","30to64","MARRIED","Lower salariat","Women",7,"white",0,26
"1610","30to64","SEPARATED OR DIVORCED","Upper salariat","Men",6,"white",0,21
"1611","30to64","MARRIED","Manual labour","Women",6,"white",0,23
"1612","30to64","MARRIED","Upper salariat","Men",8,"white",0,23
"1613","30to64","SINGLE","Manual labour","Women",3,"white",0,20
"1614","30to64","MARRIED","Manual labour","Men",6,"white",0,25
"1615","30to64","MARRIED","Manual labour","Men",6,"white",0,21
"1616","30to64","MARRIED","Manual labour","Women",6,"white",0,15
"1617","Under30","MARRIED","Manual labour","Men",7,"white",0,29
"1618","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",3,"white",0,16
"1619","30to64","MARRIED","Routine nonmanual","Men",7,"white",0,29
"1620","65plus","WIDOWED","Manual labour","Men",4,"white",0,23
"1621","30to64","SEPARATED OR DIVORCED","Manual labour","Men",5,"white",0,25
"1622","30to64","MARRIED","Manual labour","Men",9,"white",0,20
"1623","30to64","MARRIED","Lower salariat","Men",8,"white",0,26
"1624","65plus","WIDOWED","Routine nonmanual","Women",3,"white",0,23
"1625","30to64","SINGLE","Lower salariat","Women",4,"white",0,26
"1626","Under30","SINGLE","Manual labour","Men",6,"white",0,29
"1627","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,25
"1628","30to64","MARRIED","Routine nonmanual","Women",10,"white",0,23
"1629","30to64","MARRIED","Manual labour","Men",10,"white",0,26
"1630","30to64","MARRIED","Lower salariat","Men",8,"white",0,27
"1631","Under30","MARRIED","Upper salariat","Women",10,"white",0,22
"1632","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,19
"1633","30to64","SINGLE","Manual labour","Men",5,"white",0,25
"1634","30to64","MARRIED","Manual labour","Men",6,"white",0,25
"1635","30to64","MARRIED","Manual labour","Men",7,"white",0,22
"1636","30to64","MARRIED","Lower salariat","Men",6,"white",0,23
"1637","30to64","MARRIED","Lower salariat","Men",10,"white",1,23
"1638","30to64","MARRIED","Manual labour","Men",7,"white",0,23
"1639","30to64","MARRIED","Upper salariat","Men",9,"white",0,26
"1640","30to64","MARRIED","Upper salariat","Women",8,"white",0,22
"1641","30to64","SINGLE","Lower salariat","Men",8,"white",0,23
"1642","Under30","SINGLE","Upper salariat","Men",10,"white",1,22
"1643","30to64","MARRIED","Upper salariat","Women",8,"white",0,28
"1644","30to64","MARRIED","Manual labour","Men",9,"white",0,28
"1645","30to64","MARRIED","Manual labour","Men",8,"white",0,24
"1646","Under30","SINGLE","Lower salariat","Women",3,"white",0,20
"1647","Under30","SINGLE","Manual labour","Men",7,"white",0,21
"1648","30to64","SEPARATED OR DIVORCED","Lower salariat","Women",10,"white",0,24
"1649","30to64","MARRIED","Lower salariat","Women",9,"white",0,23
"1650","30to64","MARRIED","Manual labour","Men",6,"white",0,14
"1651","30to64","MARRIED","Routine nonmanual","Men",9,"white",0,23
"1652","Under30","SINGLE","Manual labour","Men",6,"white",0,18
"1653","65plus","MARRIED","Manual labour","Men",8,"white",0,21
"1654","30to64","SINGLE","Manual labour","Men",7,"white",1,25
"1655","65plus","MARRIED","Routine nonmanual","Women",4,"white",1,22
"1656","65plus","MARRIED","Lower salariat","Men",4,"white",1,17
"1657","65plus","WIDOWED","Lower salariat","Men",6,"white",1,21
"1658","65plus","SEPARATED OR DIVORCED","Lower salariat","Men",6,"white",0,27
"1659","65plus","MARRIED","Upper salariat","Men",10,"white",0,23
"1660","65plus","MARRIED","Manual labour","Men",4,"white",0,26
"1661","65plus","WIDOWED","Upper salariat","Women",4,"white",0,27
"1662","65plus","SEPARATED OR DIVORCED","Lower salariat","Men",3,"white",1,27
"1663","30to64","MARRIED","Upper salariat","Men",10,"white",0,22
"1664","Under30","MARRIED","Lower salariat","Women",6,"white",1,22
"1665","30to64","MARRIED","Manual labour","Men",8,"white",1,28
"1666","30to64","MARRIED","Upper salariat","Men",9,"white",0,25
"1667","Under30","MARRIED","Manual labour","Women",7,"white",0,24
"1668","65plus","MARRIED","Lower salariat","Men",6,"white",0,26
"1669","65plus","MARRIED","Manual labour","Women",3,"white",0,22
"1670","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,30
"1671","Under30","SEPARATED OR DIVORCED","Lower salariat","Men",7,"white",0,23
"1672","30to64","MARRIED","Self employed","Men",10,"Nonwhite",0,25
"1673","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,26
"1674","Under30","MARRIED","Manual labour","Men",7,"white",0,25
"1675","30to64","MARRIED","Lower salariat","Women",9,"white",0,26
"1676","30to64","MARRIED","Manual labour","Men",9,"white",0,29
"1677","65plus","MARRIED","Routine nonmanual","Men",8,"white",0,16
"1678","30to64","SEPARATED OR DIVORCED","Manual labour","Women",6,"white",0,19
"1679","65plus","MARRIED","Manual labour","Men",4,"white",0,26
"1680","30to64","MARRIED","Upper salariat","Women",8,"white",0,25
"1681","65plus","MARRIED","Manual labour","Men",6,"white",0,23
"1682","30to64","SINGLE","Manual labour","Men",3,"white",0,17
"1683","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,25
"1684","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,25
"1685","30to64","MARRIED","Lower salariat","Men",9,"white",0,21
"1686","Under30","SINGLE","Manual labour","Men",7,"white",0,24
"1687","30to64","MARRIED","Lower salariat","Women",9,"white",0,24
"1688","30to64","MARRIED","Lower salariat","Men",8,"white",0,23
"1689","30to64","MARRIED","Manual labour","Men",8,"white",0,21
"1690","30to64","MARRIED","Lower salariat","Women",4,"white",0,22
"1691","30to64","MARRIED","Manual labour","Men",8,"white",0,27
"1692","30to64","MARRIED","Upper salariat","Women",9,"white",0,19
"1693","65plus","MARRIED","Lower salariat","Women",8,"white",0,22
"1694","Under30","SINGLE","Manual labour","Men",8,"white",0,27
"1695","Under30","MARRIED","Routine nonmanual","Women",6,"white",0,22
"1696","Under30","MARRIED","Routine nonmanual","Women",6,"white",0,28
"1697","30to64","MARRIED","Lower salariat","Women",10,"white",0,19
"1698","65plus","WIDOWED","Manual labour","Women",2,"white",0,21
"1699","30to64","MARRIED","Lower salariat","Women",6,"white",0,20
"1700","30to64","SINGLE","Manual labour","Women",3,"white",0,15
"1701","30to64","SEPARATED OR DIVORCED","Manual labour","Women",3,"white",0,26
"1702","Under30","MARRIED","Manual labour","Men",6,"white",1,22
"1703","30to64","MARRIED","Manual labour","Women",7,"white",0,25
"1704","65plus","WIDOWED","Manual labour","Women",5,"white",0,21
"1705","30to64","SINGLE","Routine nonmanual","Men",10,"white",1,23
"1706","30to64","MARRIED","Manual labour","Women",7,"white",0,29
"1707","30to64","SINGLE","Lower salariat","Women",8,"white",0,22
"1708","65plus","WIDOWED","Manual labour","Men",7,"white",0,25
"1709","65plus","WIDOWED","Lower salariat","Women",5,"white",0,29
"1710","30to64","MARRIED","Routine nonmanual","Women",7,"white",0,24
"1711","30to64","MARRIED","Lower salariat","Women",9,"white",1,18
"1712","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",9,"white",0,19
"1713","30to64","MARRIED","Routine nonmanual","Women",7,"white",0,24
"1714","Under30","MARRIED","Manual labour","Men",8,"white",1,24
"1715","65plus","MARRIED","Lower salariat","Men",7,"white",0,23
"1716","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",5,"white",0,27
"1717","65plus","MARRIED","Manual labour","Men",5,"white",1,27
"1718","65plus","SEPARATED OR DIVORCED","Upper salariat","Men",6,"white",0,17
"1719","30to64","MARRIED","Upper salariat","Women",8,"white",0,22
"1720","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",4,"white",0,29
"1721","30to64","SEPARATED OR DIVORCED","Manual labour","Men",7,"white",0,24
"1722","30to64","SINGLE","Manual labour","Men",7,"white",0,26
"1723","Under30","SINGLE","Lower salariat","Men",4,"white",0,23
"1724","30to64","SEPARATED OR DIVORCED","Lower salariat","Women",6,"white",0,23
"1725","Under30","MARRIED","Manual labour","Men",7,"white",0,28
"1726","Under30","MARRIED","Manual labour","Men",8,"white",0,25
"1727","Under30","MARRIED","Upper salariat","Men",8,"white",1,26
"1728","65plus","MARRIED","Routine nonmanual","Men",7,"white",0,23
"1729","Under30","MARRIED","Manual labour","Women",7,"white",1,17
"1730","30to64","SINGLE","Lower salariat","Men",7,"white",1,18
"1731","30to64","MARRIED","Lower salariat","Men",7,"white",0,23
"1732","30to64","MARRIED","Upper salariat","Men",8,"white",0,24
"1733","Under30","SINGLE","Routine nonmanual","Men",6,"white",0,23
"1734","30to64","MARRIED","Upper salariat","Women",8,"white",0,22
"1735","30to64","MARRIED","Lower salariat","Men",5,"white",1,24
"1736","65plus","WIDOWED","Routine nonmanual","Women",5,"white",0,26
"1737","65plus","MARRIED","Manual labour","Men",4,"white",0,21
"1738","65plus","MARRIED","Manual labour","Men",4,"white",0,24
"1739","65plus","SEPARATED OR DIVORCED","Manual labour","Women",3,"white",0,26
"1740","30to64","SEPARATED OR DIVORCED","Lower salariat","Women",4,"white",0,20
"1741","65plus","MARRIED","Routine nonmanual","Men",8,"white",0,23
"1742","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,23
"1743","65plus","WIDOWED","Routine nonmanual","Women",3,"white",0,25
"1744","30to64","SINGLE","Upper salariat","Men",6,"white",1,24
"1745","30to64","MARRIED","Upper salariat","Women",10,"white",0,25
"1746","30to64","MARRIED","Routine nonmanual","Men",8,"white",0,26
"1747","Under30","MARRIED","Manual labour","Men",7,"white",0,23
